,Zip Code,Org Code,Org Name,Org Type,Year,Job Category,Nonwhite (Num Stu),Total Students,Nonwhite (Num Staff),Total Staff,Perc Nonwhite Students,Perc Nonwhite Staff,Nonwhite Leader,Median Income,Percent Poverty,% HS Graduates,% College Graduates,Zip Perc White,Percent Nonwhite Residents,In Boston,Residuals,Residuals Group
731,01841,1490009,Lawrence: Community Day Arlington,Public School,2015,All Staff,627.0,642,21.900000000000006,86.9,97.66355140186917,25.201380897583437,True,32928.0,34.9,66.0,8.9,39.5,60.5,Not Boston,-1.9913817275434162,Low
732,01841,1490540,Lawrence: Phoenix Academy Lawrence,Public School,2015,All Staff,176.0,185,9.100000000000001,23.8,95.13513513513514,38.235294117647065,False,32928.0,34.9,66.0,8.9,39.5,60.5,Not Boston,15.524756263323546,High
733,01841,1490090,Lawrence: UP Academy Leonard Middle School,Public School,2015,All Staff,325.0,331,21.599999999999998,48.8,98.18731117824774,44.26229508196721,True,32928.0,34.9,66.0,8.9,39.5,60.5,Not Boston,12.500052558897508,High
734,01841,1490011,Lawrence: Lawrence Family Public Academy,Public School,2015,All Staff,175.0,181,4.099999999999998,27.2,96.68508287292818,15.0735294117647,False,32928.0,34.9,66.0,8.9,39.5,60.5,Not Boston,-9.027674066894459,Low
735,01843,1490080,Lawrence: Emily G Wetherbee,Public School,2015,All Staff,666.0,707,10.099999999999994,77.6,94.2008486562942,13.015463917525766,False,43301.0,31.0,74.6,15.5,44.0,56.0,Not Boston,-3.013068384088575,Low
737,01843,1490003,Lawrence: John Breen School,Public School,2015,All Staff,306.0,333,16.099999999999998,45.4,91.8918918918919,35.46255506607929,True,43301.0,31.0,74.6,15.5,44.0,56.0,Not Boston,8.124866891609699,High
739,01843,1490004,Lawrence: South Lawrence East Elementary School,Public School,2015,All Staff,541.0,573,9.199999999999996,59.9,94.4153577661431,15.35893155258764,False,43301.0,31.0,74.6,15.5,44.0,56.0,Not Boston,-2.6288103645579515,Low
740,01843,1490085,Lawrence: Spark Academy,Public School,2015,All Staff,416.0,435,22.700000000000003,57.1,95.63218390804597,39.75481611208407,False,43301.0,31.0,74.6,15.5,44.0,56.0,Not Boston,18.88984075053923,High
770,01852,4560050,Lowell Community Charter Public (District): Lowell Community Charter Public School,Charter School,2015,All Staff,737.0,769,31.599999999999994,104.1,95.83875162548765,30.35542747358309,True,48420.0,24.4,81.2,26.0,65.8,34.2,Not Boston,11.797018861956886,High
775,01854,1600080,Lowell: Charlotte M Murkland Elementary,Public School,2015,All Staff,464.0,514,4.0,58.9,90.27237354085604,6.791171477079796,False,41640.0,22.5,78.7,19.5,56.9,43.1,Not Boston,-7.1466186046001035,Low
847,01902,4290010,KIPP Academy Lynn Charter (District): KIPP Academy Lynn Charter School,Charter School,2015,All Staff,775.0,851,31.799999999999997,103.8,91.06933019976499,30.635838150289015,False,38045.0,28.3,76.1,17.3,40.9,59.1,Not Boston,23.48372054470055,High
850,01902,1630035,Lynn: Cobbet Elementary,Public School,2015,All Staff,571.0,595,5.0,61.2,95.96638655462185,8.169934640522875,False,38045.0,28.3,76.1,17.3,40.9,59.1,Not Boston,-11.94846160257082,Low
851,01902,1630045,Lynn: E J Harrington,Public School,2015,All Staff,600.0,656,6.400000000000006,76.7,91.46341463414635,8.344198174706657,False,38045.0,28.3,76.1,17.3,40.9,59.1,Not Boston,-7.080232372417646,Low
854,01902,1630060,Lynn: Ingalls,Public School,2015,All Staff,674.0,738,6.400000000000006,65.7,91.32791327913279,9.74124809741249,True,38045.0,28.3,76.1,17.3,40.9,59.1,Not Boston,-12.83102798892425,Low
857,01902,1630050,Lynn: Robert L Ford,Public School,2015,All Staff,480.0,526,6.399999999999999,43.9,91.25475285171103,14.578587699316625,False,38045.0,28.3,76.1,17.3,40.9,59.1,Not Boston,-2.3868703498282002,Low
859,01902,1630005,Lynn: Washington Elementary School,Public School,2015,All Staff,425.0,450,3.0,41.0,94.44444444444444,7.317073170731707,True,38045.0,28.3,76.1,17.3,40.9,59.1,Not Boston,-21.757912083806627,Low
870,01905,1630100,Lynn: Tracy,Public School,2015,All Staff,372.0,403,2.0,37.0,92.3076923076923,5.405405405405405,False,50903.0,27.5,77.9,15.1,43.4,56.6,Not Boston,-13.011801012750356,Low
871,01905,1630040,Lynn: Wm P Connery,Public School,2015,All Staff,574.0,612,6.399999999999999,57.4,93.79084967320262,11.149825783972123,False,50903.0,27.5,77.9,15.1,43.4,56.6,Not Boston,-5.780418484393959,Low
1119,02111,350286,Boston: Josiah Quincy,Public School,2015,All Staff,727.0,789,59.5,90.5,92.14195183776933,65.74585635359117,True,51480.0,10.5,75.8,53.0,44.7,55.3,Boston,16.821673630758596,High
1122,02115,4520505,Edward M. Kennedy Academy for Health Careers (Horace Mann Charter) (District): Edward M. Kennedy Academy for Health Careers (Horace Mann Charter School),Charter School,2015,All Staff,346.0,359,20.2,37.0,96.37883008356546,54.59459459459459,True,31737.0,40.2,90.3,63.6,68.5,31.5,Boston,3.075972648867726,High
1123,02116,350548,Boston: Boston Adult Academy,Public School,2015,All Staff,185.0,191,17.0,23.0,96.8586387434555,73.91304347826086,True,93059.0,10.6,92.5,76.4,76.3,23.700000000000003,Boston,12.22612169423602,High
