350430,"28 Walker Street, Charlestown, MA, 02129",Match,Exact,"28 WALKER ST, CHARLESTOWN, MA, 02129","-71.06669,42.37933",85697343,L
1490540,"15 Union Street, Lawrence, MA, 01841",Match,Non_Exact,"15 UNION ST, LAWRENCE, MA, 01840","-71.1534,42.706383",86627827,R
2810570,"Dickenson Bldg, 37 Alderman Street, Springfield, MA, 01108",No_Match,,,,,
4530005,"2200 Northampton St, Holyoke, MA, 01040",Match,Exact,"2200 NORTHAMPTON ST, HOLYOKE, MA, 01040","-72.63003,42.187336",4076964,R
350135,"40 Gordon Avenue, Hyde Park, MA, 02136",Match,Exact,"40 GORDON AVE, HYDE PARK, MA, 02136","-71.12682,42.257145",85704390,L
4260205,"50 Pleasant Street, Lawrence, MA, 01841",Match,Exact,"50 PLEASANT ST, LAWRENCE, MA, 01841","-71.14404,42.71289",86627884,L
350138,"40 School Street, Dorchester, MA, 02124",Match,Exact,"40 SCHOOL ST, DORCHESTER, MA, 02124","-71.07532,42.29686",85702174,L
1370070,"156 Cabot Street, Holyoke, MA, 01040",Match,Exact,"156 CABOT ST, HOLYOKE, MA, 01040","-72.61374,42.203648",4017693,L
2810185,"141 Washington Street, Springfield, MA, 01108",Match,Exact,"141 WASHINGTON ST, SPRINGFIELD, MA, 01108","-72.5505,42.082954",4038459,R
350565,"152 Arlington Street, Boston, MA, 02116",Match,Exact,"152 ARLINGTON ST, BOSTON, MA, 02116","-71.06931,42.34841",85728275,L
570055,"180 Walnut Street, Chelsea, MA, 02150",Match,Exact,"180 WALNUT ST, CHELSEA, MA, 02150","-71.036835,42.393448",85707081,L
2810045,"670 Union Street, Springfield, MA, 01109",Match,Exact,"670 UNION ST, SPRINGFIELD, MA, 01109","-72.56652,42.108475",4035859,L
350141,"33 Trenton Street, East Boston, MA, 02128",Match,Exact,"33 TRENTON ST, EAST BOSTON, MA, 02128","-71.038155,42.378242",85711364,R
4980405,"370 Pine Street, Springfield, MA, 01105",Match,Exact,"370 PINE ST, SPRINGFIELD, MA, 01105","-72.574425,42.09463",4062972,R
4540205,"34 West Street, Lawrence, MA, 01841",Match,Exact,"34 WEST ST, LAWRENCE, MA, 01841","-71.17547,42.710747",86625244,L
4800405,"215 Dorchester Street, South Boston, MA, 02127",Match,Exact,"215 DORCHESTER ST, SOUTH BOSTON, MA, 02127","-71.05181,42.33234",85712808,R
35080505,"65 Lincoln Street, Springfield, MA, 01105",Match,Non_Exact,"65 LINCOLN ST, SPRINGFIELD, MA, 01109","-72.57685,42.11094",4035197,R
35040505,"2179 Washington Street, Roxbury , MA, 02119",Match,Exact,"2179 WASHINGTON ST, ROXBURY, MA, 02119","-71.08254,42.331234",635345979,R
350691,"61 School Street, Roxbury, MA, 02119",Match,Exact,"61 SCHOOL ST, ROXBURY, MA, 02119","-71.09838,42.313847",85699883,R
4370505,"58 Circuit Street, Roxbury, MA, 02119",Match,Exact,"58 CIRCUIT ST, ROXBURY, MA, 02119","-71.08685,42.323906",85700408,L
350052,"15 Basile Street, Roslindale, MA, 02131",Match,Exact,"15 BASILE ST, ROSLINDALE, MA, 02131","-71.12708,42.286915",85703711,L
1490009,"150 Arlington Street, Lawrence, MA, 01841",Match,Exact,"150 ARLINGTON ST, LAWRENCE, MA, 01841","-71.175285,42.717445",86625030,L
1490002,"41 Lexington Street, Lawrence, MA, 01841",Match,Exact,"41 LEXINGTON ST, LAWRENCE, MA, 01841","-71.16517,42.71723",86627065,R
1490003,"114 Osgood Street, Lawrence, MA, 01843",Match,Exact,"114 OSGOOD ST, LAWRENCE, MA, 01843","-71.14868,42.69614",86628959,L
350243,"51 Cedar Street, Roxbury, MA, 02119",Match,Exact,"51 CEDAR ST, ROXBURY, MA, 02119","-71.091194,42.32519",85699223,R
1490004,"165 Crawford Street, Lawrence, MA, 01843",Match,Exact,"165 CRAWFORD ST, LAWRENCE, MA, 01843","-71.14632,42.693214",86690145,R
4190305,"23 Leonard Street, Boston, MA, 02122",Match,Exact,"23 LEONARD ST, BOSTON, MA, 02122","-71.0589,42.301426",85713511,R
4240505,"20 Kearsarge Ave, Roxbury, MA, 02119",Match,Exact,"20 KEARSARGE AVE, ROXBURY, MA, 02119","-71.0826,42.32746",85700523,L
350558,"655 Metropolitan Ave, Hyde Park, MA, 02136",No_Match,,,,,
2810030,"433 Walnut Street, Springfield, MA, 01105",Match,Exact,"433 WALNUT ST, SPRINGFIELD, MA, 01105","-72.56421,42.098984",4036035,L
