Org Code,SCHOOL,PK,K,1,2,3,4,5,6,7,8,9,10,11,12,SP,TOTAL,Source,Year
00190510,Ayer - Ayer High,0,0,0,0,0,0,0,0,0,0,87,95,82,101,0,365,student_enrollment_2010,2010
00190305,Ayer - Ayer Middle,0,0,0,0,0,0,0,95,81,68,0,0,0,0,0,244,student_enrollment_2010,2010
00190025,Ayer - Page-Hilltop,37,99,79,79,112,92,90,0,0,0,0,0,0,0,0,588,student_enrollment_2010,2010
00200004,Barnstable - Barnstable Early Learning Center,115,0,0,0,0,0,0,0,0,0,0,0,0,0,0,115,student_enrollment_2010,2010
00200505,Barnstable - Barnstable High,0,0,0,0,0,0,0,0,0,413,456,449,399,387,16,2120,student_enrollment_2010,2010
00200315,Barnstable - Barnstable Intermediate School,0,0,0,0,0,0,0,424,389,0,0,0,0,0,0,813,student_enrollment_2010,2010
00200010,Barnstable - Centerville Elementary,0,57,68,50,62,0,0,0,0,0,0,0,0,0,0,237,student_enrollment_2010,2010
00200025,Barnstable - Hyannis West Elementary,0,66,79,83,84,0,0,0,0,0,0,0,0,0,0,312,student_enrollment_2010,2010
00200005,Barnstable - West Barnstable Elem,0,58,61,67,65,0,0,0,0,0,0,0,0,0,0,251,student_enrollment_2010,2010
00200045,Barnstable - West Villages Elementary School,0,116,99,110,120,0,0,0,0,0,0,0,0,0,0,445,student_enrollment_2010,2010
04270010,Barnstable Community Horace Mann Charter Public (District) - Barnstable Community Horace Mann Charter Publ,0,59,93,98,85,0,0,0,0,0,0,0,0,0,0,335,student_enrollment_2010,2010
04230010,Barnstable Horace Mann Charter (District) - Barnstable Horace Mann Charter School,0,0,0,0,0,421,372,0,0,0,0,0,0,0,0,793,student_enrollment_2010,2010
00230505,Bedford - Bedford High,12,0,0,0,0,0,0,0,0,0,221,197,189,162,0,781,student_enrollment_2010,2010
00230305,Bedford - John Glenn Middle,0,0,0,0,0,0,0,176,196,186,0,0,0,0,0,558,student_enrollment_2010,2010
00230010,Bedford - Lt Elezer Davis,18,189,153,166,0,0,0,0,0,0,0,0,0,0,0,526,student_enrollment_2010,2010
00230012,Bedford - Lt Job Lane School,0,0,0,0,186,185,193,0,0,0,0,0,0,0,0,564,student_enrollment_2010,2010
00240505,Belchertown - Belchertown High,0,0,0,0,0,0,0,0,0,0,219,178,197,160,6,760,student_enrollment_2010,2010
00240006,Belchertown - Chestnut Hill Community School,0,0,0,0,0,206,190,194,0,0,0,0,0,0,0,590,student_enrollment_2010,2010
00240005,Belchertown - Cold Spring,25,181,0,0,0,0,0,0,0,0,0,0,0,0,0,206,student_enrollment_2010,2010
00240025,Belchertown - Jabish Middle School,0,0,0,0,0,0,0,0,217,233,0,0,0,0,0,450,student_enrollment_2010,2010
00240018,Belchertown - Swift River Elem,0,0,200,190,214,0,0,0,0,0,0,0,0,0,0,604,student_enrollment_2010,2010
00250003,Bellingham - Bellingham ECC,104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,104,student_enrollment_2010,2010
00250505,Bellingham - Bellingham High School,0,0,0,0,0,0,0,0,0,0,188,193,178,188,1,748,student_enrollment_2010,2010
00250315,Bellingham - Bellingham Memorial Middle School,0,0,0,0,0,0,194,206,220,188,0,0,0,0,0,808,student_enrollment_2010,2010
00250009,Bellingham - Clara Macy Elementary,0,53,70,48,54,47,0,0,0,0,0,0,0,0,0,272,student_enrollment_2010,2010
00250510,Bellingham - Primavera Jr/Sr H S,0,0,0,0,0,0,0,0,0,0,4,11,9,6,0,30,student_enrollment_2010,2010
00250020,Bellingham - South Elem,0,90,97,94,72,76,0,0,0,0,0,0,0,0,0,429,student_enrollment_2010,2010
00250025,Bellingham - Stall Brook,0,47,49,54,51,43,0,0,0,0,0,0,0,0,0,244,student_enrollment_2010,2010
00260505,Belmont - Belmont High,0,0,0,0,0,0,0,0,0,0,265,284,293,277,0,1119,student_enrollment_2010,2010
00260015,Belmont - Daniel Butler,0,87,61,73,72,46,0,0,0,0,0,0,0,0,0,339,student_enrollment_2010,2010
00260010,Belmont - Mary Lee Burbank,0,69,64,68,67,74,0,0,0,0,0,0,0,0,0,342,student_enrollment_2010,2010
00260035,Belmont - Roger E Wellington,0,89,97,85,75,113,0,0,0,0,0,0,0,0,0,459,student_enrollment_2010,2010
00260005,Belmont - Winn Brook,71,85,92,92,93,98,0,0,0,0,0,0,0,0,0,531,student_enrollment_2010,2010
00260305,Belmont - Winthrop L Chenery Middle,0,0,0,0,0,0,304,314,274,292,0,0,0,0,0,1184,student_enrollment_2010,2010
04200205,Benjamin Banneker Charter Public (District) - Benjamin Banneker Charter Public School,0,59,56,56,59,43,29,24,0,0,0,0,0,0,0,326,student_enrollment_2010,2010
04470205,Benjamin Franklin Classical Charter Public (District) - Benjamin Franklin Classical Charter Public Sc,0,45,47,48,48,47,51,53,50,43,0,0,0,0,0,432,student_enrollment_2010,2010
