Org Code,Org Name,Churn Enrollment,% Churn,% Intake,Stability Enrollment,% Stability,Source,Year
07740020,Up-Island Regional - West Tisbury Elementary,286,13.3,6.3,274,90.5,student_mobility_2013,2013
08790605,Upper Cape Cod Regional Vocational Technical - Upper Cape Cod Vocational Technical,664,3.0,0.6,661,97.4,student_mobility_2013,2013
03040015,Uxbridge - McCloskey Middle School,496,2.8,1.0,491,98.2,student_mobility_2013,2013
03040005,Uxbridge - Taft Early Learning Center,543,10.9,9.9,516,93.8,student_mobility_2013,2013
03040505,Uxbridge - Uxbridge High,483,6.4,4.1,473,95.6,student_mobility_2013,2013
03040020,Uxbridge - Whitin Elementary School,440,5.0,3.4,428,97.7,student_mobility_2013,2013
04980405,Veritas Preparatory Charter School (District) - Veritas Preparatory Charter School,82,9.8,7.3,81,91.4,student_mobility_2013,2013
07750310,Wachusett - Central Tree Middle,422,4.3,1.9,414,97.6,student_mobility_2013,2013
07750315,Wachusett - Chocksett Middle School,433,3.7,1.6,430,97.0,student_mobility_2013,2013
07750018,Wachusett - Davis Hill Elementary,512,4.5,2.5,505,96.8,student_mobility_2013,2013
07750020,Wachusett - Dawson,485,4.5,3.5,470,98.5,student_mobility_2013,2013
07750001,Wachusett - Early Childhood Center,185,83.2,79.5,140,22.1,student_mobility_2013,2013
07750060,Wachusett - Glenwood Elementary School,418,4.3,1.4,412,97.1,student_mobility_2013,2013
07750027,Wachusett - Houghton Elementary,477,3.1,1.5,471,98.1,student_mobility_2013,2013
07750032,Wachusett - Leroy E.Mayo,494,3.8,1.2,489,97.1,student_mobility_2013,2013
07750305,Wachusett - Mountview Middle,765,3.3,1.3,756,97.9,student_mobility_2013,2013
07750005,Wachusett - Naquag Elementary School,367,3.3,1.9,361,98.3,student_mobility_2013,2013
07750040,Wachusett - Paxton Center,576,3.0,1.6,569,98.2,student_mobility_2013,2013
07750045,Wachusett - Thomas Prince,366,5.2,3.8,355,97.7,student_mobility_2013,2013
07750505,Wachusett - Wachusett Regional High,2160,4.6,2.2,2136,96.4,student_mobility_2013,2013
03050005,Wakefield - Dolbeare,445,3.4,2.2,439,97.9,student_mobility_2013,2013
03050310,Wakefield - Galvin Middle School,1083,1.8,0.9,1076,98.8,student_mobility_2013,2013
03050020,Wakefield - Greenwood,260,4.6,2.7,255,97.3,student_mobility_2013,2013
03050505,Wakefield - Wakefield Memorial High,1007,3.6,1.7,995,97.6,student_mobility_2013,2013
03050040,Wakefield - Walton,195,1.5,0.5,194,99.0,student_mobility_2013,2013
03050015,Wakefield - Woodville School,458,9.4,5.0,437,95.0,student_mobility_2013,2013
03060005,Wales - Wales Elementary,161,13.0,8.7,150,93.3,student_mobility_2013,2013
03070305,Walpole - Bird Middle,504,1.4,0.8,501,99.2,student_mobility_2013,2013
03070010,Walpole - Boyden,484,18.2,16.3,477,83.0,student_mobility_2013,2013
03070002,Walpole - Daniel Feeney Preschool Center,96,43.8,43.8,80,67.5,student_mobility_2013,2013
03070310,Walpole - Eleanor N Johnson Middle,461,1.5,1.3,455,99.8,student_mobility_2013,2013
03070005,Walpole - Elm Street School,438,5.0,4.3,425,97.9,student_mobility_2013,2013
03070015,Walpole - Fisher,455,4.8,3.3,444,97.5,student_mobility_2013,2013
03070018,Walpole - Old Post Road,485,4.1,3.3,475,97.9,student_mobility_2013,2013
03070505,Walpole - Walpole High,1175,3.8,1.6,1160,97.4,student_mobility_2013,2013
03080032,Waltham - Douglas MacArthur Elementary School,363,11.3,7.2,351,91.7,student_mobility_2013,2013
03080065,Waltham - Henry Whittemore Elementary School,457,15.5,9.4,432,89.4,student_mobility_2013,2013
03080060,Waltham - James Fitzgerald Elementary School,489,8.2,4.3,475,94.5,student_mobility_2013,2013
03080404,Waltham - John F Kennedy Middle,583,10.5,7.2,554,94.2,student_mobility_2013,2013
03080415,Waltham - John W. McDevitt Middle School,547,7.3,3.5,537,94.4,student_mobility_2013,2013
