Org Code,Attendance Rate,Average # of days absent,Absent 10 or more days,Chronically Absent (10% or more),Year,Retention Rate
07650015,96.0,5.0,14.3,28.6,2015,0.0
02240005,95.1,8.5,36.2,8.6,2015,0.0
02880010,96.7,6.0,17.6,2.5,2015,0.0
03480026,96.3,6.3,23.6,5.0,2015,1.5
02810175,95.0,8.6,30.2,10.9,2015,2.5
00310505,94.4,9.4,31.0,13.7,2015,5.3
00460035,95.7,7.3,26.1,9.4,2015,0.2
01630035,95.7,7.2,27.6,12.1,2015,3.9
01490525,95.5,7.8,31.1,11.0,2015,0.0
01490535,90.8,15.8,56.7,32.7,2015,1.5
04120530,95.7,8.0,30.4,9.2,2015,4.2
02810185,94.5,9.0,36.9,17.3,2015,2.2
00610510,93.5,11.0,42.5,17.9,2015,0.5
00610505,91.8,13.7,50.8,25.8,2015,1.3
02200015,96.7,5.8,17.5,4.2,2015,0.9
00170015,96.8,5.7,16.7,3.4,2015,0.0
01620505,95.2,8.3,31.4,9.2,2015,1.3
00610040,95.2,8.3,33.6,12.3,2015,0.0
00000000,94.7,9.0,32.0,12.9,2015,1.5
01010040,96.2,6.9,28.8,5.0,2015,0.0
00350015,89.8,14.9,58.7,41.8,2015,0.0
03420505,95.5,7.9,24.9,9.5,2015,0.8
00070005,95.3,7.9,31.8,9.4,2015,0.0
03350050,94.6,6.0,19.0,10.3,2015,0.0
00140005,97.2,4.6,12.6,3.7,2015,0.0
07450005,96.7,5.8,17.5,3.1,2015,0.0
00310305,96.5,6.2,20.3,4.9,2015,0.0
07660010,95.0,8.7,35.0,11.1,2015,0.0
06450005,94.1,9.7,41.1,18.8,2015,1.0
01980005,96.0,7.0,21.5,5.5,2015,0.0
02660305,96.0,7.0,24.6,6.7,2015,0.0
00240005,93.5,10.4,36.8,19.5,2015,0.0
02810500,92.7,12.5,43.0,23.6,2015,6.2
02130305,96.2,6.7,21.5,6.8,2015,0.0
03320515,84.2,27.1,78.9,57.9,2015,0.0
04370505,94.9,9.0,28.2,13.1,2015,10.5
06720405,94.9,8.9,33.7,11.2,2015,1.2
02930057,95.2,8.2,29.9,8.8,2015,0.0
