Org Code,% Emergency Removal,% Expulsion,% In-School Suspension,% Out-of-School Suspension,% Permanent Expulsion,% Removed to Alternate Setting,SCHOOL,Source,Students,Students Disciplined,Year
00160050,,,,,,,Attleboro - Peter Thacher Elementary School,student_suspensions_2013,466,3,2013
00160305,,,1.5,3.2,0.0,0.0,Attleboro - Robert J. Coelho Middle School,student_suspensions_2013,653,29,2013
00160035,,,,,,,Attleboro - Thomas E. Willett School,student_suspensions_2013,446,3,2013
00160320,,,5.4,5.2,0.0,0.0,Attleboro - Wamsutta Middle School,student_suspensions_2013,578,47,2013
00170305,,,3.9,2.7,0.0,0.0,Auburn - Auburn Middle,student_suspensions_2013,586,32,2013
00170505,,,0.0,4.7,0.0,0.0,Auburn - Auburn Senior High,student_suspensions_2013,752,35,2013
00170010,,,,,,,Auburn - Bryn Mawr,student_suspensions_2013,285,0,2013
00170005,,,,,,,Auburn - Julia Bancroft,student_suspensions_2013,265,0,2013
00170025,,,,,,,Auburn - Mary D Stone,student_suspensions_2013,241,1,2013
00170015,,,,,,,Auburn - Pakachoag,student_suspensions_2013,274,5,2013
00180510,,,0.0,3.4,0.0,0.0,Avon - Avon Middle High School,student_suspensions_2013,358,12,2013
00180010,,,,,,,Avon - Ralph D Butler,student_suspensions_2013,418,1,2013
06160505,,,13.7,8.3,0.0,0.0,Ayer Shirley School District - Ayer Shirley Regional High School,student_suspensions_2013,336,54,2013
06160305,,,12.5,1.9,0.0,0.0,Ayer Shirley School District - Ayer Shirley Regional Middle School,student_suspensions_2013,424,56,2013
06160001,,,,,,,Ayer Shirley School District - Lura A. White Elementary School,student_suspensions_2013,425,1,2013
06160002,,,,,,,Ayer Shirley School District - Page Hilltop School,student_suspensions_2013,569,4,2013
00200505,,,4.9,8.8,0.0,0.0,Barnstable - Barnstable High,student_suspensions_2013,2026,213,2013
00200315,,,6.5,3.9,0.0,0.0,Barnstable - Barnstable Intermediate School,student_suspensions_2013,797,68,2013
00200050,,,2.9,2.6,0.0,0.0,Barnstable - Barnstable United Elementary School,student_suspensions_2013,833,33,2013
00200010,,,,,,,Barnstable - Centerville Elementary,student_suspensions_2013,419,0,2013
00200025,,,0.8,2.1,0.0,0.0,Barnstable - Hyannis West Elementary,student_suspensions_2013,381,10,2013
00200005,,,,,,,Barnstable - West Barnstable Elementary,student_suspensions_2013,282,0,2013
00200045,,,,,,,Barnstable - West Villages Elementary School,student_suspensions_2013,463,0,2013
04270010,,,,,,,Barnstable Community Horace Mann Charter Public (District) - Barnstable Community Horace Mann Charter Public School,student_suspensions_2013,289,5,2013
00230505,,,1.0,2.7,0.0,0.0,Bedford - Bedford High,student_suspensions_2013,940,29,2013
00230305,,,1.7,1.0,0.0,0.0,Bedford - John Glenn Middle,student_suspensions_2013,585,14,2013
00230010,,,,,,,Bedford - Lt Elezer Davis,student_suspensions_2013,510,0,2013
00230012,,,,,,,Bedford - Lt Job Lane School,student_suspensions_2013,545,0,2013
00240505,,,9.0,2.7,0.0,0.0,Belchertown - Belchertown High,student_suspensions_2013,778,80,2013
00240006,,,0.2,1.2,0.0,0.0,Belchertown - Chestnut Hill Community School,student_suspensions_2013,603,7,2013
00240005,,,,,,,Belchertown - Cold Spring,student_suspensions_2013,212,1,2013
00240025,,,3.3,1.8,0.0,0.0,Belchertown - Jabish Middle School,student_suspensions_2013,397,16,2013
00240018,,,,,,,Belchertown - Swift River Elementary,student_suspensions_2013,568,5,2013
00250003,,,,,,,Bellingham - Bellingham Early Childhood Center,student_suspensions_2013,109,0,2013
00250505,,,0.4,4.0,0.0,0.0,Bellingham - Bellingham High School,student_suspensions_2013,677,29,2013
00250315,,,,,,,Bellingham - Bellingham Memorial Middle School,student_suspensions_2013,749,0,2013
00250009,,,,,,,Bellingham - Clara Macy Elementary,student_suspensions_2013,254,0,2013
00250510,,,0.0,57.6,0.0,0.0,Bellingham - Primavera Junior/Senior High School,student_suspensions_2013,33,19,2013
00250020,,,,,,,Bellingham - South Elementary,student_suspensions_2013,462,0,2013
00250025,,,,,,,Bellingham - Stall Brook,student_suspensions_2013,247,0,2013
00260505,,,0.0,3.5,0.0,0.0,Belmont - Belmont High,student_suspensions_2013,1132,40,2013
00260015,,,,,,,Belmont - Daniel Butler,student_suspensions_2013,353,0,2013
00260010,,,,,,,Belmont - Mary Lee Burbank,student_suspensions_2013,343,0,2013
00260035,,,,,,,Belmont - Roger E Wellington,student_suspensions_2013,608,2,2013
00260005,,,,,,,Belmont - Winn Brook,student_suspensions_2013,456,0,2013
00260305,,,0.8,0.2,0.0,0.0,Belmont - Winthrop L Chenery Middle,student_suspensions_2013,1259,12,2013
04200205,,,16.8,5.3,0.0,0.0,Benjamin Banneker Charter Public (District) - Benjamin Banneker Charter Public School,student_suspensions_2013,357,66,2013
04470205,,,0.0,1.3,0.0,0.0,Benjamin Franklin Classical Charter Public (District) - Benjamin Franklin Classical Charter Public School,student_suspensions_2013,454,6,2013
00270010,,,0.2,1.0,0.0,0.0,Berkley - Berkley Community School,student_suspensions_2013,514,6,2013
00270305,,,0.5,3.2,0.0,0.0,Berkley - Berkley Middle School,student_suspensions_2013,380,13,2013
04140305,,,5.7,6.8,0.0,0.0,Berkshire Arts and Technology Charter Public (District) - Berkshire Arts and Technology Charter Public School,student_suspensions_2013,336,38,2013
06180505,,,0.0,6.9,0.0,0.0,Berkshire Hills - Monument Mt Regional High,student_suspensions_2013,547,38,2013
06180310,,,1.7,0.0,0.0,0.0,Berkshire Hills - Monument Valley Regional Middle School,student_suspensions_2013,401,7,2013
06180035,,,0.9,0.4,0.0,0.0,Berkshire Hills - Muddy Brook Regional Elementary School,student_suspensions_2013,455,6,2013
00280005,,,,,,,Berlin - Berlin Memorial,student_suspensions_2013,230,2,2013
06200505,,,1.8,3.6,0.0,0.0,Berlin-Boylston - Tahanto Regional High,student_suspensions_2013,440,21,2013
00300055,,,0.6,1.0,0.0,0.0,Beverly - Ayers/Ryal Side School,student_suspensions_2013,505,7,2013
00300505,,,0.0,3.8,0.0,0.0,Beverly - Beverly High,student_suspensions_2013,1334,51,2013
00300305,,,4.8,2.9,0.0,0.0,Beverly - Briscoe Middle,student_suspensions_2013,952,54,2013
00300010,,,1.0,1.6,0.0,0.0,Beverly - Centerville Elementary,student_suspensions_2013,387,10,2013
00300015,,,,,,,Beverly - Cove Elementary,student_suspensions_2013,547,5,2013
00300033,,,,,,,Beverly - Hannah Elementary,student_suspensions_2013,380,1,2013
00300040,,,0.0,1.5,0.0,0.0,Beverly - North Beverly Elementary,student_suspensions_2013,399,6,2013
00310505,,,0.1,3.3,0.0,0.0,Billerica - Billerica Memorial High School,student_suspensions_2013,1657,56,2013
00310030,,,,,,,Billerica - Eugene C Vining,student_suspensions_2013,234,0,2013
00310007,,,,,,,Billerica - Frederick J Dutile,student_suspensions_2013,372,0,2013
00310026,,,,,,,Billerica - Hajjar Elementary,student_suspensions_2013,535,0,2013
00310012,,,,,,,Billerica - John F Kennedy,student_suspensions_2013,380,0,2013
00310310,,,0.0,3.7,0.0,0.0,Billerica - Locke Middle,student_suspensions_2013,678,25,2013
00310305,,,0.0,3.4,0.0,0.0,Billerica - Marshall Middle School,student_suspensions_2013,763,26,2013
00310015,,,,,,,Billerica - Parker,student_suspensions_2013,440,0,2013
00310005,,,,,,,Billerica - Thomas Ditson,student_suspensions_2013,660,1,2013
08050605,,,1.5,2.4,0.0,0.0,Blackstone Valley Regional Vocational Technical - Blackstone Valley,student_suspensions_2013,1161,41,2013
06220015,,,2.8,1.4,0.0,0.0,Blackstone-Millville - A F Maloney,student_suspensions_2013,214,7,2013
06220505,,,19.0,6.1,0.0,0.0,Blackstone-Millville - Blackstone Millville RHS,student_suspensions_2013,522,109,2013
06220405,,,6.7,4.8,0.6,0.0,Blackstone-Millville - Frederick W. Hartnett Middle School,student_suspensions_2013,477,41,2013
06220008,,,1.9,2.3,0.0,0.0,Blackstone-Millville - John F Kennedy Elementary,student_suspensions_2013,429,15,2013
06220010,,,,,,,Blackstone-Millville - Millville Elementary,student_suspensions_2013,315,4,2013
08060605,,,0.0,4.7,0.0,0.0,Blue Hills Regional Vocational Technical - Blue Hills Regional Vocational Technical,student_suspensions_2013,824,39,2013
00350541,,,0.8,3.3,0.0,0.0,Boston - Another Course To College,student_suspensions_2013,239,10,2013
00350003,,,,,,,Boston - Baldwin Early Learning Center,student_suspensions_2013,199,0,2013
00350021,,,,,,,Boston - Beethoven,student_suspensions_2013,327,0,2013
00350390,,,0.0,8.1,0.0,0.0,Boston - Blackstone,student_suspensions_2013,652,53,2013
00350548,,,,,,,Boston - Boston Adult Academy,student_suspensions_2013,365,4,2013
00350546,,,0.0,4.3,0.0,0.0,Boston - Boston Arts Academy,student_suspensions_2013,421,18,2013
00350558,,,0.0,8.9,0.4,0.0,Boston - Boston Community Leadership Academy,student_suspensions_2013,508,47,2013
00350507,,,0.0,8.1,0.6,0.0,Boston - Boston International High School,student_suspensions_2013,492,43,2013
00350560,,,0.0,0.5,0.2,0.0,Boston - Boston Latin,student_suspensions_2013,2358,16,2013
00350545,,,0.1,3.0,0.0,0.0,Boston - Boston Latin Academy,student_suspensions_2013,1648,50,2013
00350413,,,15.8,42.1,0.0,0.0,Boston - Boston Middle School Academy,student_suspensions_2013,38,16,2013
00350012,,,0.3,10.9,0.0,0.0,Boston - Boston Teachers Union School,student_suspensions_2013,340,37,2013
00350505,,,0.1,14.9,0.4,0.0,Boston - Brighton High,student_suspensions_2013,1235,187,2013
00350036,,,,,,,Boston - Carter Developmental Center,student_suspensions_2013,26,0,2013
00350054,,,0.2,3.4,0.0,0.0,Boston - Charles H Taylor,student_suspensions_2013,618,22,2013
00350052,,,0.0,1.4,0.0,0.0,Boston - Charles Sumner,student_suspensions_2013,576,8,2013
00350515,,,0.2,9.0,0.2,0.0,Boston - Charlestown High,student_suspensions_2013,1040,96,2013
00350430,,,9.6,10.8,0.2,0.0,Boston - Clarence R Edwards Middle,student_suspensions_2013,583,92,2013
00350518,,,1.9,23.4,0.0,0.0,Boston - Community Academy,student_suspensions_2013,107,26,2013
00350581,,,0.2,12.2,0.4,0.0,Boston - Community Academy of Science and Health,student_suspensions_2013,469,59,2013
00350020,,,0.6,5.9,0.0,0.0,Boston - Curley K-8 School,student_suspensions_2013,908,55,2013
00350062,,,,,,,Boston - Curtis Guild,student_suspensions_2013,342,0,2013
00350072,,,0.2,9.2,0.0,0.0,Boston - David A Ellis,student_suspensions_2013,448,41,2013
00350074,,,0.4,22.2,0.7,0.0,Boston - Dearborn,student_suspensions_2013,279,62,2013
00350077,,,,,,,Boston - Dennis C Haley,student_suspensions_2013,323,2,2013
00350080,,,0.3,0.6,0.3,0.0,Boston - Donald Mckay,student_suspensions_2013,712,8,2013
00350651,,,0.2,10.6,0.0,0.0,Boston - Dorchester Academy,student_suspensions_2013,483,51,2013
00350008,,,,,,,Boston - Dr. Catherine Ellison-Rosa Parks Early Ed School,student_suspensions_2013,223,0,2013
00350266,,,,,,,Boston - Dr. William Henderson,student_suspensions_2013,252,3,2013
00350006,,,,,,,Boston - ELC - West Zone,student_suspensions_2013,108,2,2013
00350002,,,,,,,Boston - Early Childhood Center at Fifield (ECC-Fifield),student_suspensions_2013,128,0,2013
00350009,,,,,,,Boston - East Boston Early Childhood Center,student_suspensions_2013,201,0,2013
00350530,,,0.0,2.5,0.2,0.0,Boston - East Boston High,student_suspensions_2013,1532,42,2013
00350375,,,0.2,8.2,0.1,0.0,Boston - Edison K-8,student_suspensions_2013,942,80,2013
00350088,,,0.0,5.6,0.0,0.0,Boston - Edward Everett,student_suspensions_2013,306,17,2013
00350543,,,,,,,Boston - Egleston Community High School,student_suspensions_2013,213,0,2013
00350094,,,0.2,12.4,0.0,0.0,Boston - Elihu Greenwood Leadership Academy,student_suspensions_2013,436,54,2013
00350096,,,,,,,Boston - Eliot Elementary,student_suspensions_2013,374,0,2013
00350100,,,1.6,4.0,0.0,0.0,Boston - Ellis Mendell,student_suspensions_2013,251,11,2013
00350522,,,1.0,14.6,0.6,0.0,Boston - Excel High School,student_suspensions_2013,705,110,2013
00350540,,,1.5,2.8,0.0,0.0,Boston - Fenway High School,student_suspensions_2013,324,11,2013
00350116,,,0.6,6.5,0.0,0.0,Boston - Franklin D Roosevelt,student_suspensions_2013,505,35,2013
00350326,,,0.8,2.7,0.0,0.0,Boston - Gardner Pilot Academy,student_suspensions_2013,365,11,2013
00350122,,,0.5,2.8,0.0,0.0,Boston - George H Conley,student_suspensions_2013,214,7,2013
00350426,,,3.3,28.3,0.3,0.0,Boston - Harbor School,student_suspensions_2013,329,93,2013
00350200,,,0.5,2.4,0.0,0.0,Boston - Harvard-Kent,student_suspensions_2013,595,14,2013
00350010,,,,,,,Boston - Haynes Early Education Center,student_suspensions_2013,218,0,2013
00350135,,,0.0,3.1,0.0,0.0,Boston - Henry Grew,student_suspensions_2013,291,9,2013
00350377,,,,,,,Boston - Higginson/Lewis K-8,student_suspensions_2013,443,1,2013
00350750,,,,,,,Boston - Horace Mann School for the Deaf,student_suspensions_2013,128,3,2013
00350141,,,,,,,Boston - Hugh Roe O'Donnell,student_suspensions_2013,305,0,2013
00350013,,,0.3,6.3,0.0,0.0,Boston - Jackson Mann,student_suspensions_2013,800,50,2013
00350146,,,0.0,2.0,0.0,0.0,Boston - James Condon Elementary,student_suspensions_2013,859,17,2013
00350154,,,,,,,Boston - James J Chittick,student_suspensions_2013,349,0,2013
00350156,,,,,,,Boston - James Otis,student_suspensions_2013,406,0,2013
00350485,,,0.0,7.8,0.2,0.2,Boston - James P Timilty Middle,student_suspensions_2013,653,52,2013
00350153,,,1.7,3.5,0.0,0.0,Boston - James W Hennigan,student_suspensions_2013,632,31,2013
00350525,,,0.2,4.6,0.2,0.0,Boston - Jeremiah E Burke High,student_suspensions_2013,649,32,2013
