,Name,Median Income,Zip Code,Percent Poverty,% HS Graduates,% College Graduates,Zip Perc White
148,ZCTA5 01588,65926,01588,9.8,91.1,30.3,92.5
149,ZCTA5 01590,108547,01590,3.0,95.0,42.7,95.6
150,ZCTA5 01602,59770,01602,12.9,91.0,45.6,80.7
151,ZCTA5 01603,43329,01603,27.7,79.3,20.6,71.8
152,ZCTA5 01604,48212,01604,27.7,87.3,27.1,72.2
153,ZCTA5 01605,36429,01605,38.8,82.6,26.1,60.4
154,ZCTA5 01606,63646,01606,10.0,92.7,37.4,79.5
155,ZCTA5 01607,45170,01607,21.5,85.1,28.6,66.1
156,ZCTA5 01609,43729,01609,25.6,80.7,39.8,76.3
157,ZCTA5 01610,31019,01610,35.9,73.0,14.0,61.6
158,ZCTA5 01612,92500,01612,2.6,95.6,51.7,88.4
159,ZCTA5 01701,91430,01701,7.0,95.8,57.2,83.7
160,ZCTA5 01702,51985,01702,19.1,82.7,37.4,66.2
161,ZCTA5 01719,102699,01719,4.7,99.7,76.4,78.4
162,ZCTA5 01720,124836,01720,1.0,97.4,75.7,74.8
163,ZCTA5 01721,102911,01721,3.6,96.1,59.2,86.2
164,ZCTA5 01730,113729,01730,1.9,97.6,66.8,81.5
165,ZCTA5 01731,81667,01731,5.8,99.8,54.4,82.1
166,ZCTA5 01740,147446,01740,1.1,97.1,65.8,94.1
167,ZCTA5 01741,166111,01741,2.8,98.6,83.3,86.7
168,ZCTA5 01742,133880,01742,5.9,94.0,68.1,86.3
169,ZCTA5 01746,108869,01746,5.5,97.0,60.0,92.4
170,ZCTA5 01747,95268,01747,1.3,91.9,40.2,94.5
171,ZCTA5 01748,138551,01748,1.3,97.8,65.6,92.6
172,ZCTA5 01749,75985,01749,6.0,90.5,36.5,91.9
173,ZCTA5 01752,71790,01752,8.2,89.1,37.9,78.4
174,ZCTA5 01754,88333,01754,7.5,95.5,49.8,87.5
175,ZCTA5 01756,108942,01756,2.3,95.8,47.5,95.6
176,ZCTA5 01757,70162,01757,13.8,91.9,35.7,85.5
177,ZCTA5 01760,100922,01760,1.6,97.3,69.1,85.7
178,ZCTA5 01770,155956,01770,1.4,98.6,81.6,94.7
179,ZCTA5 01772,145179,01772,3.3,97.5,70.8,85.5
180,ZCTA5 01773,153438,01773,0.0,97.4,82.3,82.6
181,ZCTA5 01775,137551,01775,2.5,99.3,65.1,94.5
182,ZCTA5 01776,165745,01776,1.5,98.6,78.7,87.6
183,ZCTA5 01778,143616,01778,3.3,98.5,82.1,86.2
184,ZCTA5 01801,80266,01801,8.6,94.0,37.4,84.8
185,ZCTA5 01803,94518,01803,6.7,93.9,47.1,80.7
186,ZCTA5 01810,129082,01810,3.6,97.5,71.9,81.7
187,ZCTA5 01821,93307,01821,5.4,93.7,32.0,91.8
188,ZCTA5 01824,105010,01824,2.1,96.4,52.5,89.3
189,ZCTA5 01826,78133,01826,3.2,91.1,24.9,88.7
190,ZCTA5 01827,118523,01827,1.4,97.5,56.0,93.9
191,ZCTA5 01830,56074,01830,22.7,85.6,26.3,83.6
192,ZCTA5 01832,58850,01832,13.2,86.9,27.5,80.2
193,ZCTA5 01833,107683,01833,1.0,96.9,48.2,96.7
194,ZCTA5 01834,95208,01834,3.8,96.1,34.0,97.7
195,ZCTA5 01835,72568,01835,8.8,95.8,35.5,90.5
196,ZCTA5 01840,18291,01840,36.1,60.6,12.4,39.3
197,ZCTA5 01841,32928,01841,34.9,66.0,8.9,39.5
198,ZCTA5 01843,43301,01843,31.0,74.6,15.5,44.0
199,ZCTA5 01844,71392,01844,11.4,88.7,28.9,79.4
200,ZCTA5 01845,100286,01845,6.0,96.5,58.5,88.9
201,ZCTA5 01850,48979,01850,23.1,83.4,19.8,66.4
202,ZCTA5 01851,50108,01851,18.9,74.1,20.2,45.0
203,ZCTA5 01852,48420,01852,24.4,81.2,26.0,65.8
204,ZCTA5 01854,41640,01854,22.5,78.7,19.5,56.9
205,ZCTA5 01860,73986,01860,8.6,96.9,44.9,99.8
206,ZCTA5 01862,103219,01862,4.0,90.7,30.8,88.4
207,ZCTA5 01863,75687,01863,1.3,95.2,45.1,88.1
208,ZCTA5 01864,123103,01864,1.3,96.9,51.0,89.2
209,ZCTA5 01867,108282,01867,1.8,96.7,58.0,92.2
210,ZCTA5 01876,90477,01876,4.9,94.0,32.5,94.6
211,ZCTA5 01879,106290,01879,7.8,95.4,44.5,92.5
212,ZCTA5 01880,86210,01880,1.3,93.7,46.9,92.7
213,ZCTA5 01886,121591,01886,2.4,97.4,67.7,83.0
214,ZCTA5 01887,100862,01887,5.0,95.4,37.1,91.7
215,ZCTA5 01890,143017,01890,2.2,97.3,72.1,84.9
216,ZCTA5 01902,38045,01902,28.3,76.1,17.3,40.9
217,ZCTA5 01904,84932,01904,6.3,92.6,29.7,81.3
218,ZCTA5 01905,50903,01905,27.5,77.9,15.1,43.4
219,ZCTA5 01906,77371,01906,6.2,90.1,24.9,91.7
220,ZCTA5 01907,98475,01907,6.6,95.4,55.7,95.6
221,ZCTA5 01908,65284,01908,2.0,97.1,49.2,95.2
222,ZCTA5 01913,76558,01913,4.5,93.6,42.8,95.4
223,ZCTA5 01915,72837,01915,8.2,94.1,45.8,94.4
224,ZCTA5 01921,140268,01921,6.4,97.8,61.6,95.8
225,ZCTA5 01922,87412,01922,0.0,97.9,58.9,95.0
226,ZCTA5 01923,77949,01923,4.3,94.4,41.3,94.0
227,ZCTA5 01929,92396,01929,7.0,97.1,51.1,97.3
228,ZCTA5 01930,61505,01930,11.0,88.7,34.4,95.5
229,ZCTA5 01937,-,01937,-,73.9,20.1,94.8
230,ZCTA5 01938,76458,01938,4.9,96.4,49.9,97.5
231,ZCTA5 01940,111911,01940,1.8,96.9,50.9,92.2
232,ZCTA5 01944,95243,01944,2.4,96.4,60.6,97.5
233,ZCTA5 01945,102993,01945,3.1,97.8,68.3,96.1
234,ZCTA5 01949,108622,01949,4.6,91.2,37.2,84.5
235,ZCTA5 01950,85556,01950,8.1,97.1,59.9,95.8
236,ZCTA5 01951,91304,01951,6.0,95.6,60.8,97.5
237,ZCTA5 01952,69500,01952,9.0,89.8,29.1,95.6
