Org Code,Job Group,Year,SCHOOL,African American (# ),Asian (# ),Hispanic (# ),White (# ),FTE Count,Other (# )
03300505,34,2010,Weston - Weston High,0.0,0.0,0.0,0.5,0.5,0.0
03310015,34,2010,Westport - Alice A Macomber,0.0,0.0,0.0,1.0,1.0,0.0
03310030,34,2010,Westport - Westport Elementary,0.0,0.0,0.0,0.0,0.0,0.0
03310305,34,2010,Westport - Westport Middle,0.0,0.0,0.0,0.0,0.0,0.0
03310505,34,2010,Westport - Westport High,0.0,0.0,0.0,0.0,0.0,0.0
03320005,34,2010,West Springfield - John Ashley,0.0,0.0,0.6,2.6999999999999997,3.3,0.0
03320007,34,2010,West Springfield - Philip G Coburn,0.0,0.0,0.4,1.1,1.5,0.0
03320010,34,2010,West Springfield - John R Fausey,0.0,0.0,0.0,2.5,2.5,0.0
03320025,34,2010,West Springfield - Memorial,0.0,0.0,0.0,0.7999999999999999,0.7999999999999999,0.0
03320030,34,2010,West Springfield - Mittineague,0.0,0.0,0.0,0.6,0.6,0.0
03320040,34,2010,West Springfield - Tatham,0.0,0.0,0.0,0.6,0.6,0.0
03320305,34,2010,West Springfield - West Springfield Middle,0.0,0.0,0.0,1.2,1.2,0.0
03320505,34,2010,West Springfield - West Springfield High,0.0,0.0,0.0,1.1,1.1,0.0
03350010,34,2010,Westwood - Deerfield School,0.0,0.0,0.0,1.5,1.5,0.0
03350012,34,2010,Westwood - Downey,0.0,0.0,0.0,6.8,6.8,0.0
03350015,34,2010,Westwood - Paul Hanlon,0.0,0.0,0.0,0.5,0.5,0.0
03350017,34,2010,Westwood - Martha Jones,0.0,0.0,0.0,1.5,1.5,0.0
03350025,34,2010,Westwood - William E Sheehan,0.0,0.0,0.0,1.8,1.8,0.0
03350050,34,2010,Westwood - Westwood Integrated Preschool,0.0,0.0,0.0,4.8,4.8,0.0
03350305,34,2010,Westwood - E W Thurston Middle,0.0,0.0,0.0,1.6,1.6,0.0
03350505,34,2010,Westwood - Westwood High,0.0,0.0,0.0,1.6,1.6,0.0
03360003,34,2010,Weymouth - Johnson ECC,0.0,0.0,0.0,4.4,4.4,0.0
03360005,34,2010,Weymouth - Academy Avenue,0.0,0.0,0.0,0.4,0.4,0.0
03360020,34,2010,Weymouth - Maria Weston Chapman Middle School,0.0,0.0,0.0,0.30000000000000004,0.30000000000000004,0.0
03360050,34,2010,Weymouth - Frederick C Murphy,0.0,0.0,0.0,0.3,0.3,0.0
03360060,34,2010,Weymouth - Thomas V Nash,0.0,0.0,0.0,0.8,0.8,0.0
03360065,34,2010,Weymouth - Lawrence W Pingree,0.0,0.0,0.0,0.2,0.2,0.0
